Ifbk,IfbkTgt,SpdTgt,SpdAct
3,-2000,45000,67333
16,-2000,45000,67426
16,-2000,45000,67484
21,-2000,45000,67495
18,-2000,45000,67516
9,-2000,45000,67510
13,-2000,45000,67522
12,-2000,45000,67512
0,-2000,45000,67522
-6,-2000,45000,67512
16,-2000,45000,67522
15,-2000,45000,67612
9,-2000,45000,67347
10,-2000,45000,67612
21,-2000,45000,67347
10,-2000,45000,67612
3,-2000,45000,67347
1,-2000,45000,67612
27,-2000,45000,67348
21,-2000,45000,67612
15,-2000,45000,67348
21,-2000,45000,67612
13,-2000,45000,67348
10,-2000,45000,67612
4,-2000,45000,66774
7,-2000,45000,67215
22,-2000,45000,67213
15,-2000,45000,67346
3,-2000,45000,67429
24,-2000,45000,67092
15,-2000,45000,66206
4,-2000,45000,66199
9,-2000,45000,66994
28,-2000,45000,67218
21,-2000,45000,67127
16,-2000,45000,67026
16,-2000,45000,67216
16,-2000,45000,67366
15,-2000,45000,67444
16,-2000,45000,66843
9,-2000,45000,66104
22,-2000,45000,66783
22,-2000,45000,66984
7,-2000,45000,67594
16,-2000,45000,67383
13,-2000,45000,67395
6,-2000,45000,67224
10,-2000,45000,67335
28,-2000,45000,67420
27,-2000,45000,66617
27,-2000,45000,66490
10,-2000,45000,66772
13,-2000,45000,67148
15,-2000,45000,67340
10,-2000,45000,67461
16,-2000,45000,67482
27,-2000,45000,67518
21,-2000,45000,67500
16,-2000,45000,67524
16,-2000,45000,67502
15,-2000,45000,67524
10,-2000,45000,67502
1,-2000,45000,67524
9,-2000,45000,67502
22,-2000,45000,67524
16,-2000,45000,67502
6,-2000,45000,67524
19,-2000,45000,67502
9,-2000,45000,67524
4,-2000,45000,68111
6,-2000,45000,67770
21,-2000,45000,67622
24,-2000,45000,67563
19,-2000,45000,67535
10,-2000,45000,67522
16,-2000,45000,67516
15,-2000,45000,67514
7,-2000,45000,67513
6,-2000,45000,67513
22,-2000,45000,67513
16,-2000,45000,66985
9,-2000,45000,66574
19,-2000,45000,66919
15,-2000,45000,66949
9,-2000,45000,67417
10,-2000,45000,67263
18,-2000,45000,66668
28,-2000,45000,66747
25,-2000,45000,67070
3,-2000,45000,67322
18,-2000,45000,67422
16,-2000,45000,67322
6,-2000,45000,67596
10,-2000,45000,66998
18,-2000,45000,67042
18,-2000,45000,67242
15,-2000,45000,67378
3,-2000,45000,67457
9,-2000,45000,67098
12,-2000,45000,66943
3,-2000,45000,66416
3,-2000,45000,67033
30,-2000,45000,67064
24,-2000,45000,67481
10,-2000,45000,67118
18,-2000,45000,67275
10,-2000,45000,67545
3,-2000,45000,67369
7,-2000,45000,67406
16,-2000,45000,67470
19,-2000,45000,67477
19,-2000,45000,67503
1,-2000,45000,67497
12,-2000,45000,67518
13,-2000,45000,67512
1,-2000,45000,67530
3,-2000,45000,67518
19,-2000,45000,67531
15,-2000,45000,67518
7,-2000,45000,67531
13,-2000,45000,67518
10,-2000,45000,67531
3,-2000,45000,67865
3,-2000,45000,67475
0,-2000,45000,67221
18,-2000,45000,67327
22,-2000,45000,67414
4,-2000,45000,67470
10,-2000,45000,67496
12,-2000,45000,67510
4,-2000,45000,67510
7,-2000,45000,67610
15,-2000,45000,66522
16,-2000,45000,66208
16,-2000,45000,66695
4,-2000,45000,67134
22,-2000,45000,67522
13,-2000,45000,67141
3,-2000,45000,67091
9,-2000,45000,66897
27,-2000,45000,67357
22,-2000,45000,67219
18,-2000,45000,67216
18,-2000,45000,66659
15,-2000,45000,67027
10,-2000,45000,67167
13,-2000,45000,67331
12,-2000,45000,67426
25,-2000,45000,67162
21,-2000,45000,66425
4,-2000,45000,66178
18,-2000,45000,67089
15,-2000,45000,67219
6,-2000,45000,67566
9,-2000,45000,66975
30,-2000,45000,67012
27,-2000,45000,67229
24,-2000,45000,67368
9,-2000,45000,67455
13,-2000,45000,67085
13,-2000,45000,67279
9,-2000,45000,67498
6,-2000,45000,67277
28,-2000,45000,67107
22,-2000,45000,67486
10,-2000,45000,67284
19,-2000,45000,67587
18,-2000,45000,67336
4,-2000,45000,67608
3,-2000,45000,67984
6,-2000,45000,67991
16,-2000,45000,67731
21,-2000,45000,67373
7,-2000,45000,67829
19,-2000,45000,67492
7,-2000,45000,67689
4,-2000,45000,67386
10,-2000,45000,67633
21,-2000,45000,67363
22,-2000,45000,66908
16,-2000,45000,67592
15,-2000,45000,67321
15,-2000,45000,67211
12,-2000,45000,67336
10,-2000,45000,67421
4,-2000,45000,67473
25,-2000,45000,67497
16,-2000,45000,67511
7,-2000,45000,66976
22,-2000,45000,66007
12,-2000,45000,66683
9,-2000,45000,66918
9,-2000,45000,67571
18,-2000,45000,67054
25,-2000,45000,67255
22,-2000,45000,67262
6,-2000,45000,67374
16,-2000,45000,67442
16,-2000,45000,67485
16,-2000,45000,66916
9,-2000,45000,66227
22,-2000,45000,66782
19,-2000,45000,66902
10,-2000,45000,67401
10,-2000,45000,67265
13,-2000,45000,67272
7,-2000,45000,66991
13,-2000,45000,67073
16,-2000,45000,67266
28,-2000,45000,67391
28,-2000,45000,66853
13,-2000,45000,67066
12,-2000,45000,67153
18,-2000,45000,67316
7,-2000,45000,67418
16,-2000,45000,67472
16,-2000,45000,67498
19,-2000,45000,67509
18,-2000,45000,67514
0,-2000,45000,67515
12,-2000,45000,67516
9,-2000,45000,67516
1,-2000,45000,67517
1,-2000,45000,67516
19,-2000,45000,67517
13,-2000,45000,67516
6,-2000,45000,67517
12,-2000,45000,67516
9,-2000,45000,67517
3,-2000,45000,67516
7,-2000,45000,67517
7,-2000,45000,67516
21,-2000,45000,67517
24,-2000,45000,67516
3,-2000,45000,67517
15,-2000,45000,67516
13,-2000,45000,67517
3,-2000,45000,66871
1,-2000,45000,66954
16,-2000,45000,66598
16,-2000,45000,67160
9,-2000,45000,67123
9,-2000,45000,67510
15,-2000,45000,66955
6,-2000,45000,66606
9,-2000,45000,66837
3,-2000,45000,67142
21,-2000,45000,67360
24,-2000,45000,66923
9,-2000,45000,67318
7,-2000,45000,67245
18,-2000,45000,67355
9,-2000,45000,67440
12,-2000,45000,67478
12,-2000,45000,65976
22,-2000,45000,66431
21,-2000,45000,66714
1,-2000,45000,67462
16,-2000,45000,67367
15,-2000,45000,67225
12,-2000,45000,66992
15,-2000,45000,67180
28,-2000,45000,67344
22,-2000,45000,66537
22,-2000,45000,66907
6,-2000,45000,66816
10,-2000,45000,67323
16,-2000,45000,67208
16,-2000,45000,67548
7,-2000,45000,67311
25,-2000,45000,67589
22,-2000,45000,67333
7,-2000,45000,67606
18,-2000,45000,67348
16,-2000,45000,67619
4,-2000,45000,67358
10,-2000,45000,67624
13,-2000,45000,67360
19,-2000,45000,67625
19,-2000,45000,67360
7,-2000,45000,68286
16,-2000,45000,68576
10,-2000,45000,67790
7,-2000,45000,67393
-3,-2000,45000,67306
24,-2000,45000,67743
27,-2000,45000,67327
10,-2000,45000,67347
18,-2000,45000,67689
18,-2000,45000,67176
7,-2000,45000,67267
6,-2000,45000,67332
4,-2000,45000,67411
22,-2000,45000,67473
19,-2000,45000,67486
9,-2000,45000,67505
22,-2000,45000,67505
15,-2000,45000,66267
7,-2000,45000,66128
4,-2000,45000,66477
16,-2000,45000,67363
28,-2000,45000,67287
22,-2000,45000,67492
9,-2000,45000,67266
19,-2000,45000,67593
16,-2000,45000,67455
9,-2000,45000,67490
6,-2000,45000,67493
25,-2000,45000,67524
24,-2000,45000,67232
13,-2000,45000,66244
16,-2000,45000,66431
16,-2000,45000,66512
9,-2000,45000,67178
10,-2000,45000,67173
10,-2000,45000,67533
28,-2000,45000,67003
31,-2000,45000,67408
13,-2000,45000,67476
18,-2000,45000,67323
15,-2000,45000,67306
6,-2000,45000,67405
3,-2000,45000,67455
25,-2000,45000,67490
24,-2000,45000,67493
16,-2000,45000,67510
9,-2000,45000,67509
16,-2000,45000,67524
9,-2000,45000,67522
9,-2000,45000,67533
1,-2000,45000,67526
19,-2000,45000,67626
25,-2000,45000,67750
12,-2000,45000,68038
18,-2000,45000,67778
7,-2000,45000,67377
4,-2000,45000,67726
3,-2000,45000,67270
10,-2000,45000,67278
19,-2000,45000,67627
24,-2000,45000,67546
4,-2000,45000,67556
13,-2000,45000,67304
13,-2000,45000,67584
3,-2000,45000,67343
0,-2000,45000,67605
21,-2000,45000,67350
16,-2000,45000,67607
9,-2000,45000,66537
16,-2000,45000,65866
12,-2000,45000,66428
4,-2000,45000,67143
10,-2000,45000,67125
9,-2000,45000,67306
22,-2000,45000,67187
27,-2000,45000,67054
9,-2000,45000,67458
13,-2000,45000,67272
16,-2000,45000,67581
6,-2000,45000,66976
9,-2000,45000,66107
16,-2000,45000,66448
18,-2000,45000,67123
12,-2000,45000,67433
6,-2000,45000,67479
10,-2000,45000,67357
9,-2000,45000,67190
9,-2000,45000,67203
3,-2000,45000,67078
22,-2000,45000,67474
28,-2000,45000,67451
13,-2000,45000,66517
3,-2000,45000,67120
10,-2000,45000,67474
9,-2000,45000,67242
15,-2000,45000,67552
15,-2000,45000,67312
27,-2000,45000,67586
22,-2000,45000,67333
6,-2000,45000,67602
18,-2000,45000,67348
13,-2000,45000,67615
3,-2000,45000,67355
9,-2000,45000,67617
13,-2000,45000,67356
