Current,Position,PosTgt,Speed,PosEst,DistEst,CurrentTgt,Voltage,Current-A,Channel 10
31,324,0,-69081,329,1559,290,-11989,0,1.34351e+07
41,189,0,-69454,190,1586,284,-11989,0,1.34351e+07
43,45,0,-69264,51,1614,279,-11989,0,1.34351e+07
31,-90,0,-69670,-87,1641,299,-11989,0,1.34351e+07
40,-234,0,-68810,-225,1658,290,-11989,0,1.34351e+07
28,-369,0,-69596,-364,1685,309,-11989,0,1.34351e+07
46,-513,0,-69355,-504,1714,299,-11989,0,1.34351e+07
33,-648,0,-69556,-643,1738,317,-11989,0,1.34351e+07
43,-792,0,-69775,-782,1761,309,-11989,0,1.34351e+07
25,-927,0,-69995,-921,1785,325,-11989,0,1.34351e+07
34,-1062,0,-69587,-1061,1809,316,-11989,0,1.34351e+07
28,-1206,0,-69560,-1200,1827,333,-11989,0,1.34351e+07
40,-1341,0,-69611,-1339,1850,330,-11989,0,1.34351e+07
22,-1485,0,-69379,-1477,1873,322,-11989,0,1.34351e+07
26,-1620,0,-69893,-1617,1897,339,-11989,0,1.34351e+07
35,-1764,0,-69020,-1755,1916,330,-11989,0,1.34351e+07
35,-1899,0,-69501,-1896,1937,347,-11989,0,1.34351e+07
47,-2043,0,-69070,-2035,1960,339,-11989,0,1.34351e+07
26,-2178,0,-69619,-2174,1978,356,-11989,0,1.34351e+07
51,-2322,0,-69245,-2313,1998,345,-11989,0,1.34351e+07
34,-2457,0,-69832,-2452,2021,361,-11989,0,1.34351e+07
35,-2592,0,-69340,-2590,2042,355,-11989,0,1.34351e+07
38,-2736,0,-69206,-2729,2061,351,-11989,0,1.34351e+07
42,-2871,0,-69373,-2868,2078,368,-11989,0,1.34351e+07
23,-3015,0,-69136,-3006,2094,360,-11989,0,1.34351e+07
34,-3150,0,-69481,-3145,2109,376,-11989,0,1.34351e+07
35,-3285,0,-69185,-3283,2125,374,-11989,0,1.34351e+07
40,-3429,0,-69025,-3422,2146,367,-11989,0,1.34351e+07
56,-3564,0,-69902,-3561,2171,383,-11989,0,1.34351e+07
29,-3708,0,-69159,-3699,2190,376,-11989,0,1.34351e+07
38,-3843,0,-69469,-3838,2211,390,-11989,0,1.34351e+07
32,-3987,0,-69579,-3977,2235,383,-11989,0,1.34351e+07
52,-4122,0,-69440,-4116,2251,397,-11989,0,1.34351e+07
35,-4257,0,-69435,-4255,2269,394,-11989,0,1.34351e+07
47,-4401,0,-69323,-4394,2290,388,-11989,0,1.34351e+07
31,-4536,0,-69629,-4534,2311,401,-11989,0,1.34351e+07
25,-4680,0,-69581,-4676,2327,394,-11989,0,1.34351e+07
33,-4815,0,-69378,-4815,2343,407,-11989,0,1.34351e+07
34,-4959,0,-69440,-4954,2352,400,-11989,0,1.34351e+07
28,-5094,0,-69580,-5093,2369,408,-11989,0,1.34351e+07
25,-5238,0,-69660,-5232,2385,420,-11989,0,1.34351e+07
38,-5373,0,-69313,-5370,2402,418,-11989,0,1.34351e+07
