Position,Vin,Ifbk,Speed,DBG_0,DBG_1,DBG_2,DBG_3,DBG_4,DBG_5
205884,-420,-7,0,0.5,10,0,0,0,0
205884,-420,-8,0,0.5,10,0,0,0,0
205884,-420,-10,0,0.5,10,0,0,0,0
205884,-420,-3,0,0.5,10,0,0,0,0
205884,-420,-3,0,0.5,10,0,0,0,0
205884,-420,-6,0,0.5,10,0,0,0,0
205884,-420,-3,0,0.5,10,0,0,0,0
205884,-420,-2,0,0.5,10,0,0,0,0
205884,-420,-1,0,0.5,10,0,0,0,0
205884,-420,-6,0,0.5,10,0,0,0,0
205884,-420,-4,0,0.5,10,0,0,0,0
205884,-420,-7,0,0.5,10,0,0,0,0
205884,-420,-7,0,0.5,10,0,0,0,0
205884,-420,-3,0,0.5,10,0,0,0,0
205884,-420,-9,0,0.5,10,0,0,0,0
205884,-420,-3,0,0.5,10,0,0,0,0
205884,-420,-5,0,0.5,10,0,0,0,0
205884,-420,-1,0,0.5,10,0,0,0,0
205884,-420,-1,0,0.5,10,0,0,0,0
205884,-420,-1,0,0.5,10,0,0,0,0
205884,-420,-5,0,0.5,10,0,0,0,0
205884,-420,-4,0,0.5,10,0,0,0,0
205884,-420,-3,0,0.5,10,0,0,0,0
205884,-420,-7,0,0.5,10,0,0,0,0
205884,-420,-6,0,0.5,10,0,0,0,0
205884,-420,-7,0,0.5,10,0,0,0,0
205884,-420,-5,0,0.5,10,0,0,0,0
205884,-420,-6,0,0.5,10,0,0,0,0
205884,-420,-4,0,0.5,10,0,0,0,0
205884,-420,-4,0,0.5,10,0,0,0,0
205884,-420,-4,0,0.5,10,0,0,0,0
205884,-420,-6,0,0.5,10,0,0,0,0
205884,-420,-4,0,0.5,10,0,0,0,0
205884,-420,-3,0,0.5,10,0,0,0,0
205884,-420,-7,0,0.5,10,0,0,0,0
205884,-420,-5,0,0.5,10,0,0,0,0
205884,-420,-7,0,0.5,10,0,0,0,0
205884,-420,-9,0,0.5,10,0,0,0,0
205884,-420,-4,0,0.5,10,0,0,0,0
205884,-420,-4,0,0.5,10,0,0,0,0
205884,-420,-3,0,0.5,10,0,0,0,0
205884,-420,-5,0,0.5,10,0,0,0,0
205884,-420,-3,0,0.5,10,0,0,0,0
205884,-420,-4,0,0.5,10,0,0,0,0
205884,-420,-5,0,0.5,10,0,0,0,0
205884,-420,-5,0,0.5,10,0,0,0,0
205884,-420,-3,0,0.5,10,0,0,0,0
205884,-420,-8,0,0.5,10,0,0,0,0
205884,-420,-8,0,0.5,10,0,0,0,0
205884,-420,-3,0,0.5,10,0,0,0,0
205884,-420,-8,0,0.5,10,0,0,0,0
205884,-420,-4,0,0.5,10,0,0,0,0
205884,-420,-3,0,0.5,10,0,0,0,0
205884,-420,-2,0,0.5,10,0,0,0,0
205884,-420,-3,0,0.5,10,0,0,0,0
205884,-420,-1,0,0.5,10,0,0,0,0
205884,-420,-3,0,0.5,10,0,0,0,0
205884,-420,-4,0,0.5,10,0,0,0,0
205884,-420,-3,0,0.5,10,0,0,0,0
205884,-420,-5,0,0.5,10,0,0,0,0
205884,-420,-6,0,0.5,10,0,0,0,0
205884,-420,-6,0,0.5,10,0,0,0,0
205884,-420,-7,0,0.5,10,0,0,0,0
205884,-420,-4,0,0.5,10,0,0,0,0
205884,-420,-1,0,0.5,10,0,0,0,0
205884,-420,-3,0,0.5,10,0,0,0,0
205884,-420,-4,0,0.5,10,0,0,0,0
205884,-420,-5,0,0.5,10,0,0,0,0
205884,-420,-3,0,0.5,10,0,0,0,0
205884,-420,-3,0,0.5,10,0,0,0,0
205884,-420,-4,0,0.5,10,0,0,0,0
205884,-420,-5,0,0.5,10,0,0,0,0
205884,-420,-5,0,0.5,10,0,0,0,0
205884,-420,-5,0,0.5,10,0,0,0,0
205884,-420,-4,0,0.5,10,0,0,0,0
205884,-420,-1,0,0.5,10,0,0,0,0
205884,-420,-5,0,0.5,10,0,0,0,0
205884,-420,-3,0,0.5,10,0,0,0,0
205884,-420,-2,0,0.5,10,0,0,0,0
205884,-420,-4,0,0.5,10,0,0,0,0
205884,-420,-2,0,0.5,10,0,0,0,0
205911,7605,234,14,0.5,10,0,0,0,0
206109,7605,102,41,0.5,10,0,0,0,0
206415,7605,59,55,0.5,10,0,0,0,0
206757,7605,28,68,0.5,10,0,0,0,0
207126,7605,18,66,0.5,10,0,0,0,0
207504,7605,20,66,0.5,10,0,0,0,0
207891,7605,16,68,0.5,10,0,0,0,0
208278,7605,8,68,0.5,10,0,0,0,0
208665,7605,5,67,0.5,10,0,0,0,0
209052,7605,21,68,0.5,10,0,0,0,0
209439,7605,12,67,0.5,10,0,0,0,0
209826,7605,10,69,0.5,10,0,0,0,0
210213,7605,7,66,0.5,10,0,0,0,0
210609,7605,24,68,0.5,10,0,0,0,0
210996,7605,11,65,0.5,10,0,0,0,0
211383,7605,7,68,0.5,10,0,0,0,0
211770,7605,4,69,0.5,10,0,0,0,0
212157,7605,23,67,0.5,10,0,0,0,0
212544,7605,13,67,0.5,10,0,0,0,0
212931,7605,12,68,0.5,10,0,0,0,0
213318,7605,6,69,0.5,10,0,0,0,0
213705,7605,17,66,0.5,10,0,0,0,0
214092,7605,8,67,0.5,10,0,0,0,0
214479,7605,11,67,0.5,10,0,0,0,0
214866,7605,9,68,0.5,10,0,0,0,0
215262,7605,17,67,0.5,10,0,0,0,0
215649,7605,6,67,0.5,10,0,0,0,0
216036,7605,11,66,0.5,10,0,0,0,0
216423,7605,9,65,0.5,10,0,0,0,0
216810,7605,20,66,0.5,10,0,0,0,0
217197,7605,12,68,0.5,10,0,0,0,0
217584,7605,11,69,0.5,10,0,0,0,0
217971,7605,9,69,0.5,10,0,0,0,0
218358,7605,23,68,0.5,10,0,0,0,0
218745,7605,11,69,0.5,10,0,0,0,0
219132,7605,12,65,0.5,10,0,0,0,0
219519,7605,12,67,0.5,10,0,0,0,0
219906,7605,18,67,0.5,10,0,0,0,0
220293,7605,11,67,0.5,10,0,0,0,0
220689,7605,11,67,0.5,10,0,0,0,0
221076,7605,12,66,0.5,10,0,0,0,0
221463,7605,13,68,0.5,10,0,0,0,0
221850,7605,15,68,0.5,10,0,0,0,0
222237,7605,9,69,0.5,10,0,0,0,0
222633,7605,12,66,0.5,10,0,0,0,0
223020,7605,12,66,0.5,10,0,0,0,0
223398,7605,18,66,0.5,10,0,0,0,0
223785,7605,12,68,0.5,10,0,0,0,0
224172,7605,10,66,0.5,10,0,0,0,0
224559,7605,11,66,0.5,10,0,0,0,0
224946,7605,19,67,0.5,10,0,0,0,0
225333,7605,10,67,0.5,10,0,0,0,0
225720,7605,9,68,0.5,10,0,0,0,0
226116,7605,11,66,0.5,10,0,0,0,0
226503,7605,21,66,0.5,10,0,0,0,0
226881,7605,13,66,0.5,10,0,0,0,0
227268,7605,13,68,0.5,10,0,0,0,0
227655,7605,9,69,0.5,10,0,0,0,0
228042,7605,20,66,0.5,10,0,0,0,0
228429,7605,8,66,0.5,10,0,0,0,0
228816,7605,12,68,0.5,10,0,0,0,0
229203,7605,11,68,0.5,10,0,0,0,0
229590,7605,21,67,0.5,10,0,0,0,0
229977,7605,6,68,0.5,10,0,0,0,0
230364,7605,9,66,0.5,10,0,0,0,0
230751,7605,17,65,0.5,10,0,0,0,0
231129,7605,21,67,0.5,10,0,0,0,0
231525,7605,10,65,0.5,10,0,0,0,0
231912,7605,10,65,0.5,10,0,0,0,0
232299,7605,18,65,0.5,10,0,0,0,0
232677,7605,18,67,0.5,10,0,0,0,0
233064,7605,8,67,0.5,10,0,0,0,0
233451,7605,5,66,0.5,10,0,0,0,0
233838,7605,11,66,0.5,10,0,0,0,0
234225,7605,21,68,0.5,10,0,0,0,0
234612,7605,9,68,0.5,10,0,0,0,0
234999,7605,10,67,0.5,10,0,0,0,0
235395,7605,14,67,0.5,10,0,0,0,0
235773,7605,25,68,0.5,10,0,0,0,0
236160,7605,11,69,0.5,10,0,0,0,0
236547,7605,14,68,0.5,10,0,0,0,0
236943,7605,13,66,0.5,10,0,0,0,0
237330,7605,23,66,0.5,10,0,0,0,0
237708,7605,9,67,0.5,10,0,0,0,0
238095,7605,20,68,0.5,10,0,0,0,0
238482,7605,8,66,0.5,10,0,0,0,0
238878,7605,14,66,0.5,10,0,0,0,0
239256,7605,11,66,0.5,10,0,0,0,0
239643,7605,9,67,0.5,10,0,0,0,0
240030,7605,10,67,0.5,10,0,0,0,0
240417,7605,21,68,0.5,10,0,0,0,0
240813,7605,9,67,0.5,10,0,0,0,0
241191,7605,14,65,0.5,10,0,0,0,0
241578,7605,9,66,0.5,10,0,0,0,0
241974,7605,19,65,0.5,10,0,0,0,0
242361,7605,12,68,0.5,10,0,0,0,0
242748,7605,14,66,0.5,10,0,0,0,0
243135,7605,11,68,0.5,10,0,0,0,0
243522,7605,21,68,0.5,10,0,0,0,0
243909,7605,5,68,0.5,10,0,0,0,0
244296,6484,-9,67,0.5,10,0,0,0,0
244665,6484,-4,63,0.5,10,0,0,0,0
245025,6484,7,58,0.5,10,0,0,0,0
245358,6484,6,57,0.5,10,0,0,0,0
245700,6484,4,56,0.5,10,0,0,0,0
246024,6484,12,56,0.5,10,0,0,0,0
246357,6484,7,55,0.5,10,0,0,0,0
246672,6484,14,55,0.5,10,0,0,0,0
